Enrichment (%),Flux (n/cm²/s),Burnup (MWd/kgU),Fuel Centerline Temp (K),Clad Surface Temp (K),Coolant Outlet Temp (K)
45.65,7.17245329564843,4.136023427602618e-08,617.8875883718588,615.4705643826048,574.5113946412475
30.15,7.570819110843867,3.9630786595928505e-08,616.0207163522757,613.7042162409994,574.4485358317495
71.5,6.716971632705874,4.316380381454744e-08,619.8265979335603,617.3051657371378,574.5766823692627
52.89,7.020818232448687,4.1641439873447286e-08,618.1878216441239,615.7546312479019,574.5215036931098
15.55,8.169542616474304,3.782375358328178e-08,614.0681355705455,611.8567744244392,574.3827911518246
29.94,7.570816688969067,3.918737584484094e-08,615.5395118876787,613.2489227860344,574.4323333607432
47.47,7.126240459635725,4.144697415185617e-08,617.9804868258053,615.5584606121081,574.5145225933288
78.25,6.611603677151033,4.398237286030305e-08,620.7097220836561,618.1407370483822,574.6064177405852
25.37,7.707768521067375,3.978462807370601e-08,616.1908273482956,613.8651674141565,574.4542635809364
3.81,9.666012703847567,3.0197619392393463e-08,605.7936346023823,604.0278235084079,574.1041832587322
34.87,7.450421179596304,4.0450872143016975e-08,616.9078242364179,614.5435567775339,574.478405338019
20.77,7.909829414727865,3.866091836891641e-08,614.9738157048257,612.7136871668736,574.4132859979787
40.62,7.301365578027028,4.0719179834989386e-08,617.1952237775523,614.815480958761,574.4880822697082
63.6,6.842994636497699,4.3049023182831375e-08,619.7076891802644,617.1926597628656,574.5726786332848
35.78,7.408151765565545,4.014765273547993e-08,616.5780930098734,614.2315803093418,574.4673030706234
47.05,7.131256233450142,4.082455671519136e-08,617.3052875832974,614.9196182518891,574.4917881904813
23.73,7.795103605725183,3.947334119100175e-08,615.8539473489058,613.5464271070416,574.4429206096544
51.87,7.055827802655263,4.192566804137204e-08,618.49695930081,616.0471230307663,574.5319125614556
29.0,7.597683047487205,3.9420957863204655e-08,615.7936810788661,613.4894059438503,574.4408914046805
63.33,6.843321635358627,4.244205936598744e-08,619.0493294251454,616.5697501484068,574.5505112270598
66.46,6.805115118744631,4.213346699192013e-08,618.7123340388188,616.2509006674977,574.5391643706237
20.4,7.929801034035842,3.8988059100148034e-08,615.32922504541,613.0499590814264,574.4252528643731
14.71,8.178538888604773,3.747333222384063e-08,613.6881697301866,611.4972682831766,574.369997451922
11.55,8.444821572905708,3.628409525660576e-08,612.3987772387975,610.2773046182468,574.3265827581807
57.87,6.9343447516892445,4.202964095013808e-08,618.6056392920746,616.1499510225013,574.5355718882844
55.93,6.975912517539715,4.226779591797387e-08,618.8654070278432,616.3957312648055,574.5443184389022
7.57,8.865889137811608,3.4522734252109184e-08,610.4884564148425,608.4698472232741,574.2622609988456
61.82,6.870617374914265,4.229047708849743e-08,618.8859163276844,616.4151362177322,574.5450090005252
62.88,6.858386253389349,4.2414496730332696e-08,619.0197388048947,616.5417528692466,574.5495148914022
70.7,6.72646003042434,4.349692757727583e-08,620.1885645804242,617.6476418722475,574.5888700244749
36.32,7.379929377835352,3.9971178321044894e-08,616.3861859629029,614.0500067187467,574.4608414340568
75.0,6.687111551315482,4.3369836764833467e-08,620.0476063937506,617.5142737417794,574.5841238695642
39.93,7.311822626224707,4.088154039811615e-08,617.3719070956402,614.982650559721,574.4940313133045
54.81,6.98974679053977,4.15972775148158e-08,618.1385843349385,615.7080451784418,574.5198458405062
74.23,6.685897080432545,4.2829130188724136e-08,619.4615928623559,616.9598147851522,574.5643924083034
24.26,7.7878121266761156,3.9078054025566775e-08,615.4244682450371,613.1400738010736,574.4284597655845
23.35,7.789887208884654,3.8808248879746576e-08,615.1321356555895,612.8634821972116,574.4186167349122
79.74,6.634717611285605,4.3938203087219275e-08,620.6607259847827,618.0943792009867,574.6047680096916
