Enrichment (%),Flux (n/cm²/s),Burnup (MWd/kgU),Fuel Centerline Temp (K),Clad Surface Temp (K),Coolant Outlet Temp (K)
10.35,8.548232965400643,3.676471385209818e-08,612.8358762108589,610.864553115289,574.3425714593694
2.11,10.168515743783288,2.5584552329681128e-08,600.7643473824318,599.4476796073467,573.9455155316251
64.83,6.798249996656466,4.270314811089266e-08,619.3115414396541,616.7575100355222,574.5585815235751
4.93,9.093884045640287,3.3613029143520155e-08,609.3747784367047,607.4538147306142,574.2232480155276
26.02,7.7496130224514514,3.923013193799134e-08,615.6416819686722,613.3721760116784,574.4377078886548
76.18,6.696502957026512,4.390121003721144e-08,620.5735967450162,618.0264861027301,574.6023115026491
61.37,6.907047642254611,4.272038457490428e-08,619.3925228143461,616.9408752030495,574.5618219547694
62.78,6.8670544592741205,4.232354098253008e-08,618.8793257899518,616.528178724023,574.5472778223101
35.71,7.357664080567197,4.010004624485335e-08,616.649030646799,614.2450314683392,574.4664338499089
35.29,7.443758538353647,4.042957825332439e-08,616.9993219446653,614.5372919740514,574.4774601821917
74.78,6.6835295306305555,4.3505221884162265e-08,620.1265445262029,617.6359543767479,574.5896793324268
48.16,7.150570858712987,4.090080676372207e-08,617.1967165165911,614.9558859607866,574.4899172911174
36.33,7.410582218481048,4.0121656575605696e-08,616.5363814505762,614.1855064809228,574.4664596764424
62.18,6.9039218092362376,4.2601478508726346e-08,619.2368287872341,616.7331886613588,574.5544892827182
41.57,7.265150844450766,4.093776210735587e-08,617.4016825821471,614.9655636343945,574.489953501515
32.45,7.472234683426945,3.9548437445299264e-08,615.713022044556,613.532878888245,574.4391664221647
44.28,7.19955837959997,4.053626922960965e-08,616.7721375979315,614.5447830994474,574.4770871618473
29.37,7.599145954845324,3.958785149300583e-08,615.9647257739259,613.6595303446281,574.4456745754778
59.88,6.952221265881976,4.242168486142291e-08,619.057688829455,616.6945583959895,574.5510775177682
31.42,7.575887013505676,3.975454907558932e-08,616.1502827208235,613.8850945833315,574.4558912991863
61.48,6.900716909293065,4.248976068642881e-08,619.1455774623047,616.6772942043777,574.5558222114119
43.76,7.241021722060474,4.1215838254850004e-08,617.8332359732682,615.3815988547024,574.5095296810845
60.84,6.920405341993786,4.197545013582431e-08,618.5521917966247,616.1967660992623,574.5338347788121
29.65,7.634091109000829,3.9878188329503786e-08,616.2444479835103,613.9966216352321,574.4607643267386
50.77,7.116916740042641,4.134786774521456e-08,617.9752538664549,615.6588789800658,574.5158765516898
14.72,8.267880496700439,3.7520395089692065e-08,613.7340451369721,611.661193619013,574.3773333078153
56.37,7.000591417660476,4.184874662164112e-08,618.3223070163925,615.9645486937591,574.5288598429537
18.69,8.02695326375567,3.8403969066287724e-08,614.7259622017106,612.533358882098,574.4050829196024
59.08,6.940282524228033,4.223232269663748e-08,618.9084453986134,616.4728454000305,574.549013991055
52.48,7.040122615228179,4.170673639782983e-08,618.2211613505704,615.7966651853834,574.5219081122715
69.12,6.773420252336872,4.297074375868195e-08,619.610486940116,617.195294770463,574.5698996024979
2.92,9.97653526473819,2.8138875002567557e-08,603.5649687428441,602.0815555556975,574.0313111760356
42.22,7.261075844343828,4.079166985111516e-08,617.3991640226471,614.9165561496252,574.4926793323731
62.93,6.8377289210782335,4.264089255643292e-08,619.1248517340489,616.7212683262404,574.5530832675972
75.02,6.715837246746662,4.363258749743924e-08,620.2855676382427,617.7640947059939,574.591494644853
14.64,8.200224122229985,3.7779013184479744e-08,614.0228175548697,611.7903252832053,574.3790740028599
34.94,7.454262993858673,4.033495280184727e-08,616.8215658107873,614.4452530708401,574.4738166440727
9.09,8.747176348814737,3.523051716601502e-08,611.4111010067498,609.2642729090313,574.2886747455731
67.41,6.804553693178509,4.3118680042977235e-08,619.8448908938308,617.3506088998969,574.5784232238717
49.67,7.148045165897743,4.140692406603659e-08,618.1127624706152,615.6243468559557,574.5182712304755
58.28,6.983506976274443,4.209395310585975e-08,618.7844626846406,616.2553072335055,574.5389839772084
49.66,7.088322217021061,4.120789306572464e-08,617.7964381188468,615.5437812519151,574.5105146172084
45.65,7.190679022392816,4.134311996576247e-08,618.0189451407949,615.5659534867327,574.5151096767095
30.15,7.546087154647864,3.970665176924592e-08,616.0982015198603,613.7146616607449,574.4461775938117
71.5,6.7384129366144006,4.337491604019886e-08,619.9901291429244,617.5072847120496,574.5838695605296
52.89,7.058966103584687,4.17915160892292e-08,618.4043598661622,616.0150226060715,574.5324308271513
15.55,8.207024929292277,3.78548627459531e-08,614.2186049141789,611.9275447442046,574.382467329795
29.94,7.563038698890728,3.918519857387216e-08,615.4501983016953,613.240652050512,574.4343207521001
47.47,7.170173551321341,4.122455133300698e-08,617.722132706032,615.355457539213,574.5053895147016
78.25,6.644441734715054,4.382933307030076e-08,620.5305578448009,618.0000099778911,574.6030048918226
25.37,7.76403531485637,3.952543725363931e-08,615.9259727740215,613.656459076738,574.445658467176
3.81,9.191533598610777,3.3307132066336164e-08,609.0814393999335,607.1581631112083,574.2095122935045
34.87,7.453844727804305,4.0316775172181675e-08,616.908841607338,614.457659721215,574.4790863219165
20.77,7.895031778128517,3.823778036978458e-08,614.3624178246544,612.2329750411561,574.3920507709272
40.62,7.286459603123465,4.067329638255536e-08,617.1767617759374,614.839875456308,574.4852175276544
63.6,6.844089339524589,4.260408677788366e-08,619.1445257561398,616.7112333979634,574.5536493213107
35.78,7.4719349975380585,4.051205245366443e-08,617.1157054885298,614.7251518168164,574.4827942932428
47.05,7.172395028582441,4.0969283860906006e-08,617.4969529270636,615.1420324774936,574.5009687843014
23.73,7.746203236042273,3.897089734322103e-08,615.4082644837097,613.0739712371751,574.4250452324729
51.87,7.050726278491024,4.1206410182630306e-08,617.6598487691351,615.3417602829646,574.506251109159
29.0,7.550765409102795,3.9642490171940445e-08,616.1269613343075,613.7606128411703,574.4475185766564
63.33,6.863753829708951,4.233368222484803e-08,618.8943244641483,616.5042445316217,574.5491778697289
66.46,6.7731850332910195,4.3056236620179585e-08,619.8090755543792,617.3189348131414,574.5779676651212
20.4,7.950719806347097,3.8133484258816486e-08,614.2338190695258,612.2024363134805,574.3886899268487
14.71,8.193383195275416,3.725010362245207e-08,613.3916040744076,611.3888177959687,574.3633813218559
11.55,8.55399340541763,3.5831847236358185e-08,611.8911257953437,609.9817786978355,574.3165363167141
57.87,6.988142037135673,4.2122735264812494e-08,618.8386650899552,616.3609966318829,574.5419887080029
55.93,7.053857247826251,4.1898881932359356e-08,618.5205773511585,616.107557176756,574.5326066206435
7.57,8.779984390724556,3.462373161801485e-08,610.5678026752063,608.6020742580137,574.2677960567062
61.82,6.882357488467471,4.2459865909164215e-08,619.1516880332737,616.6920295566548,574.5551531178174
62.88,6.864732884499526,4.283513747403942e-08,619.5358672015865,617.0020050308129,574.5647380233407
70.7,6.734302872045159,4.3213500658650046e-08,619.8398359828093,617.3865307633752,574.5789062732365
36.32,7.430213787705417,4.031829453456493e-08,616.8585297240768,614.4327042667746,574.4760351299869
75.0,6.6913061165648,4.346198298301311e-08,620.0770570066085,617.6324248502506,574.5875413214585
39.93,7.282317790453983,4.082863613853563e-08,617.4303791360733,615.039945552902,574.4953366696669
54.81,7.035373261206086,4.18387585923366e-08,618.5052702819212,616.0957546795653,574.536097928654
74.23,6.684680247601344,4.308821436484114e-08,619.6969106965217,617.2409298459716,574.5737568751506
24.26,7.7927163463956735,3.9017875371483804e-08,615.3998033890001,613.1813459049612,574.4288928534571
23.35,7.830914528187709,3.909675453790143e-08,615.3690330761136,613.164459542895,574.4291465259291
79.74,6.651457316664381,4.387222541820524e-08,620.4610483702489,617.9749385559664,574.6030886949301
