Enrichment (%),Real Flux,Generated Flux,Real Burnup,Generated Burnup,Flux Error,Burnup Error
62.18,6.854613463668626,6.879015730910789,4.1400386467317465e-08,4.284032721139145e-08,0.02440226724216288,1.4399407440739872e-09
41.57,7.240333445533347,7.289684502131142,4.0405587047324216e-08,4.100522584945387e-08,0.049351056597795484,5.996388021296553e-10
32.45,7.498010450276736,7.4897930835856865,3.972321734388592e-08,3.9560647910579076e-08,0.008217366691049222,1.625694333068422e-10
44.28,7.223337920292773,7.229499484739595,4.136894834777089e-08,4.093065181760805e-08,0.006161564446821366,4.382965301628405e-10
29.37,7.579807362892893,7.617308794108787,3.9394601679691594e-08,3.981637972848611e-08,0.03750143121589389,4.217780487945149e-10
59.88,6.899589074397807,6.924076789440141,4.2387965676057065e-08,4.2466643026162916e-08,0.02448771504233438,7.867735010585178e-11
31.42,7.518393150414748,7.518763854704893,4.0166437704624415e-08,3.94980197102753e-08,0.0003707042901455182,6.684179943491163e-10
61.48,6.882862536216667,6.920986867982823,4.207877176949144e-08,4.2138068831717994e-08,0.038124331766155706,5.929706222655362e-11
43.76,7.211395625862762,7.221878989389031,4.0794686370552425e-08,4.1055904518097406e-08,0.01048336352626933,2.612181475449816e-10
60.84,6.890173655063163,6.918305380620647,4.2038638040906894e-08,4.205958747507477e-08,0.028131725557484444,2.094943416787748e-11
29.65,7.5687583346593135,7.58828035392952,3.986229501431688e-08,3.891486073455893e-08,0.019522019270206137,9.474342797579504e-10
50.77,7.081811817326641,7.088740917301951,4.1136641373286984e-08,4.1514896778010064e-08,0.006929099975310216,3.7825540472307937e-10
14.72,8.239554533488338,8.192478104739775,3.725873287482306e-08,3.7940392060666664e-08,0.04707642874856255,6.816591858436009e-10
56.37,6.959824364613374,6.98202874185272,4.1564630089584127e-08,4.2209125901234335e-08,0.022204377239345874,6.444958116502085e-10
18.69,8.005794635889654,7.980527289208336,3.8281918408951086e-08,3.7996833663374554e-08,0.025267346681317804,2.850847455765312e-10
59.08,6.921150474758211,6.939387429163664,4.1993079101806895e-08,4.206504329933023e-08,0.018236954405452366,7.196419752333597e-11
52.48,7.035483210838094,7.06182301600413,4.1757088802199145e-08,4.1752901329719825e-08,0.02633980516603618,4.1874724793203025e-12
69.12,6.776840488330876,6.76341710857406,4.3235808894327776e-08,4.3391322909833775e-08,0.013423379756815734,1.55514015505999e-10
2.92,10.042099695651425,10.22388462560834,2.70887732466091e-08,2.7069648356220815e-08,0.18178492995691542,1.9124890388283853e-11
42.22,7.258164319832983,7.265315275854453,4.089048689721477e-08,4.0524510195710215e-08,0.007150956021470201,3.659767015045578e-10
62.93,6.864934793,6.900874081013018,4.2702189356451606e-08,4.252699195366819e-08,0.03593928801301782,1.751974027834164e-10
75.02,6.676177879910758,6.679171059764409,4.3472197705073554e-08,4.36273071970176e-08,0.0029931798536511067,1.5510949194404556e-10
14.64,8.224042900519107,8.223918978851293,3.7270070539803574e-08,3.7577440068217354e-08,0.00012392166781438618,3.073695284137808e-10
34.94,7.431801860921648,7.396019639248587,3.9674339224180955e-08,4.002655939148712e-08,0.035782221673060555,3.5222016730616555e-10
9.09,8.676963958411553,8.57811887568574,3.5751215473635154e-08,3.6123101217585414e-08,0.09884508272581272,3.7188574395025984e-10
67.41,6.806989585,6.793787407810219,4.28922515708784e-08,4.2993660108743935e-08,0.013202177189780784,1.0140853786553743e-10
49.67,7.107763794902215,7.085413503418925,4.1557318346789015e-08,4.1424885853119986e-08,0.022350291483290263,1.3243249366902894e-10
58.28,6.946048149,6.936185598334064,4.20820799551828e-08,4.1942537936589054e-08,0.009862550665935998,1.3954201859374252e-10
49.66,7.103969919,7.112388991156377,4.159856696097048e-08,4.1349336840133913e-08,0.008419072156376828,2.4923012083656714e-10
45.65,7.172453296,7.18209683929662,4.136023427602618e-08,4.130020297083025e-08,0.009643543296620649,6.003130519593197e-11
30.15,7.570819110843867,7.579450625967139,3.9630786595928505e-08,3.9765800963033424e-08,0.008631515123272315,1.3501436710491848e-10
71.5,6.716971632705874,6.740106828347225,4.316380381454744e-08,4.3315165227407194e-08,0.023135195641351025,1.5136141285975203e-10
52.89,7.020818232448687,7.057501430488282,4.1641439873447286e-08,4.1659621350418283e-08,0.03668319803959452,1.8181476970997783e-11
15.55,8.169542616474304,8.20059209191805,3.782375358328178e-08,3.724829605557281e-08,0.031049475443746033,5.75457527708971e-10
29.94,7.570816688969067,7.554781983252543,3.918737584484094e-08,3.937380674299434e-08,0.016034705716524655,1.864308981534012e-10
47.47,7.126240459635725,7.130771912875438,4.144697415185617e-08,4.0609348355385565e-08,0.004531453239712491,8.376257964706061e-10
78.25,6.611603677151033,6.613933049173891,4.398237286030305e-08,4.403846062898938e-08,0.0023293720228583226,5.608776868633229e-11
25.37,7.707768521067375,7.731863672554762,3.978462807370601e-08,3.9179726294191724e-08,0.024095151487387056,6.049017795142861e-10
3.81,9.666012703847567,9.58165123797304,3.0197619392393463e-08,3.0337084891007254e-08,0.08436146587452775,1.3946549861379082e-10
34.87,7.450421179596304,7.463280931219037,4.0450872143016975e-08,4.0636607126012866e-08,0.012859751622733562,1.857349829958904e-10
20.77,7.909829414727865,7.894568167750314,3.866091836891641e-08,3.827949679145003e-08,0.015261246977551046,3.814215774663798e-10
40.62,7.301365578027028,7.296273894516725,4.0719179834989386e-08,4.0611562876115915e-08,0.005091683510302758,1.0761695887347036e-10
63.6,6.842994636497699,6.881607120694174,4.3049023182831375e-08,4.2173379059503576e-08,0.03861248419647456,8.756441233277983e-10
35.78,7.408151765565545,7.424510055188435,4.014765273547993e-08,4.0192406088522186e-08,0.016358289622889544,4.475335304225584e-11
47.05,7.131256233450142,7.171605779730086,4.082455671519136e-08,4.099882649506267e-08,0.040349546279943915,1.7426977987130963e-10
23.73,7.795103605725183,7.779269044471923,3.947334119100175e-08,3.922642918585154e-08,0.01583456125325977,2.4691200515021235e-10
51.87,7.055827802655263,7.046321357846709,4.192566804137204e-08,4.147135378727541e-08,0.00950644480855356,4.543142540966289e-10
29.0,7.597683047487205,7.62644173904885,3.9420957863204655e-08,3.9948664503575336e-08,0.028758691561645122,5.277066403706811e-10
63.33,6.843321635358627,6.850926147986534,4.2442059365987444e-08,4.25010393247582e-08,0.0076045126279078445,5.897995877075829e-11
66.46,6.805115118744631,6.820033997460107,4.213346699192013e-08,4.228391638999363e-08,0.014918878715476147,1.5044939807350199e-10
20.4,7.929801034035842,7.928572092837765,3.8988059100148034e-08,3.8634008814332244e-08,0.0012289411980770382,3.540502858157903e-10
14.71,8.178538888604773,8.27293288791791,3.747333222384063e-08,3.714695351875844e-08,0.0943939993131373,3.263787050821901e-10
11.55,8.444821572905708,8.445897766439755,3.628409525660576e-08,3.690467903066971e-08,0.0010761935340468654,6.205837740639495e-10
57.87,6.9343447516892445,6.934865241244052,4.202964095013808e-08,4.2203609025028913e-08,0.000520489554807213,1.7396807489083013e-10
55.93,6.975912517539715,7.019737077844769,4.226779591797387e-08,4.214231101721062e-08,0.04382456030505377,1.2548490076324966e-10
7.57,8.865889137811608,8.853900417697892,3.4522734252109184e-08,3.4792653423952826e-08,0.011988720113716766,2.699191718436413e-10
61.82,6.870617374914265,6.911306397453902,4.229047708849743e-08,4.24839040774696e-08,0.04068902253963724,1.9342698897216797e-10
62.88,6.858386253389349,6.881425768850573,4.2414496730332696e-08,4.2592765254424415e-08,0.023039515461223736,1.7826852409171928e-10
70.7,6.72646003,6.753423320719905,4.349692757727583e-08,4.2961058367465625e-08,0.026963290719904442,5.358692098102068e-10
36.32,7.379929377835352,7.424365304195273,3.9971178321044894e-08,4.009812152713494e-08,0.04443592635992122,1.2694320609004795e-10
75.0,6.687111551315482,6.677056059379749,4.3369836764833467e-08,4.36698567060211e-08,0.010055491935732519,3.0001994118763295e-10
39.93,7.311822626224707,7.3333852565926305,4.088154039811615e-08,4.041112562428114e-08,0.021562630367923497,4.704147738350101e-10
54.81,6.989746791,7.017182123670965,4.15972775148158e-08,4.202809576925028e-08,0.027435332670965096,4.3081825443448365e-10
74.23,6.685897080432545,6.718619196113897,4.2829130188724136e-08,4.4037468997317314e-08,0.03272211568135219,1.2083388085931778e-09
24.26,7.7878121266761156,7.805350413917146,3.9078054025566775e-08,3.9029514446523526e-08,0.017538287241030126,4.8539579043248276e-11
23.35,7.789887208884654,7.8010024311739485,3.8808248879746576e-08,3.846477835922216e-08,0.011115222289294735,3.434705205244136e-10
79.74,6.634717611285605,6.607063490910564,4.3938203087219275e-08,4.39396841241324e-08,0.027654120375041558,1.481036913125694e-12
